Term1,Term2,label
rapid,inflations,0
aches,holiday,0
bandemia,meningism,1
nigeria,physician,0
drooling,sinemet,1
thrombocytopenia,heartburn,1
lipids,juxtaductal,0
continued,hi,0
hcts,sjogren,0
dribbling,incapable,0
hyperemesis,zofran,1
hypothyroidism,tiredness,1
vasculitis,hemiplegia,1
december,later,0
schistosomiasis,parasitemia,1
zovirax,famvir,1
mobitz,dissecting,0
loratadine,linguistic,0
pneumoniae,dyspnea,1
anemia,reticulocytosis,1
hemicrania,headache,1
clonus,spasm,1
underway,cricopharyngeus,0
psc,hippocampus,0
voyager,criteria,0
atrophy,throw,0
produce,intracanalicular,0
inside,anaphylaxis,0
decisions,corroborate,0
verify,cosmesis,0
celecoxib,aged,0
diary,bigger,0
cirrhosis,lipitor,1
alcohol,antabuse,1
inspiration,rf,0
hydralazine,fatigued,0
prilosec,glucophage,1
grafts,repaired,0
structured,motrin,0
metatarsalgia,toothache,1
tinged,garbled,0
hyperoxia,anoxemia,1
localize,articulate,0
briskly,explicit,0
automotive,ii,0
phenobarbital,valproic acid,1
obesity,diabetes,1
instability,responds,0
tms,secundum,0
hypothyroidism,infertility,1
stainless,amputated,0
rheumatism,polyarthritides,1
nephrolithiasis,analysis,0
subtraction,behaviors,0
ketonuria,folic acid,1
rv,boarded,0
sublingual,rises,0
annulus,fitz,0
groomed,extenders,0
hydrocodone,unaccompanied,0
paid,monday,0
punches,intraatrial,0
salpingo,aspects,0
clockwise,pipe,0
obliteration,had,0
deficit,erupts,0
adjusting,parkinson,0
tear,obstructed,0
dizziness,ethanol,1
anovulation,emaciation,1
mcv,missed,0
dictating,duoderm,0
hematemesis,vomiting,1
supraclinoid,areas,0
wickless,platelets,0
tylenol,motrin,1
seasickness,nausea,1
harvest,rendered,0
constipation,calan,1
bifida,diego,0
hyperglycemia,spend,0
deflected,spilled,0
terminal,myerson,0
firings,ed,0
ibuprofen,extramural,0
affects,downgoing,0
tracheostoma,opportunities,0
adequately,erosion,0
sewing,extenders,0
convulsion,wellbutrin,1
myositis,medrol,1
atherosclerosis,angina,1
hemoptysis,hematemesis,1
nephrologist,voice,0
stiff,invasion,0
dehydration,hypometric,0
self,faxed,0
comatose,cataracts,1
grasper,gonadal,0
clock,rotating,0
budd,explored,0
concurred,sick,0
cataracts,pancreatitis,1
dyspnea,spiriva,1
reinnervation,enclosing,0
turcica,evaluating,0
earache,crowning,1
mynx,realizing,0
avl,max,0
shot,moreover,0
scene,scene,0
cultured,adjusting,0
cataracts,wheezing,1
obesity,xenical,1
myelin,passenger,0
stamina,ultimately,0
sublingual,en,0
hyperemesis,nausea,1
cirrhosis,anemia,1
regaining,meter,0
primatine,levophed,1
cataracts,glucophage,1
diphenhydramine,plugs,0
liquid,decannulation,0
chef,nonclotting,0
depressing,instantaneous,0
syncopal,hypothalamus,0
entrapped,nutritional,0
coccidioidomycosis,histoplasmosis,1
ligation,pledget,0
seizures,aloe vera,1
stabilize,sterilized,0
insertion,analgesic,0
white,bretylium,0
bulge,abort,0
learned,comes,0
galea,turns,0
collect,geneva,0
pmi,beginning,0
polyuria,insulin,1
percentage,baby,0
should,stealth,0
emphasizing,pulse,0
taste,fundus,0
slit,witzel,0
suggestive,contraindications,0
metatarsalgia,colchicine,1
seasickness,carsickness,1
coagulating,east,0
cardialgia,loperamide,1
fila,noncontributory,0
paste,factor,0
depolarizing,swelling,0
job,thecal,0
polysubstance,intellect,0
anemia,plavix,1
fibrocalcific,writing,0
refills,mentally,0
ensured,overt,0
gastroenteritis,dysentery,1
colonoscopies,scope,0
flatulence,halitosis,1
restoring,acyclovir,0
palmar,matured,0
noncalcified,senilis,0
lipitor,zocor,1
hypothyroidism,comatose,1
lm,continue,0
recommend,rue,0
coccidioses,meningitis,1
collaterals,tunnels,0
processing,vegetation,0
anosmia,digoxin,1
petit,xyzal,0
insulin,glucagen,1
fewer,branch,0
critically,remain,0
thoracis,yankauer,0
hepatomegaly,hepatosplenomegaly,1
neurologic,vasculopathic,0
constipation,cardizem,1
barany,flu,0
partial,homosexual,0
mycosis,lipitor,1
lasix,mannitol,1
hence,written,0
factors,advantage,0
donovan,explanation,0
entirely,yr,0
marie,mhz,0
aired,scabbing,0
mittelschmerz,toothache,1
hepatitis,cirrhosis,1
incontinence,lasix,1
neuroma,interestingly,0
performances,turgor,0
anovulation,carboplatin,1
ctx,craniovertebral,0
incompletely,ulcerated,0
herniorrhaphy,resistances,0
hyperparathyroidism,reciprocal,0
preservation,like,0
meningitis,tuberculosis,1
war,heartbeat,0
thromboembolism,dyspnea,1
increment,malalignment,0
might,state,0
inguinal,oxygenated,0
attentiveness,context,0
levels,buktenica,0
leukopenia,bleomycin,1
plague,cholestyramine,1
renagel,sloping,0
thalassemia,hemoglobinopathy,1
habit,chose,0
wellbutrin,deciding,0
compensation,transdermal,0
ataxia,ethanol,1
abandoned,bisected,0
suspended,adenoma,0
colace,sob,0
alfa,soaked,0
devised,identifying,0
camera,mushroom,0
explaining,layering,0
gums,parmigiana,0
virtually,objectively,0
initial,acrylic,0
dysfluent,losartan,0
growing,palm,0
put,numb,0
weitlaner,worn,0
support,occluded,0
cluttering,nitroglycerine,1
comatose,hepatitis,1
himself,adjacent,0
antiemetics,fight,0
cardiolipin,neighbor,0
terminal,lipids,0
fiber,suprasystemic,0
suppress,rose,0
blastomycoses,seizures,1
hernia,goiter,1
odynophagia,pains,0
infancy,temazepam,0
refrain,transrectus,0
specimens,goes,0
optimum,cedars,0
males,prp,0
weakness,glucagen,1
anasarcic,interruption,0
plague,adenitis,1
ot,part,0
speaking,hemashield,0
angina,corkscrewing,1
ambivalent,effort,0
turned,drawing,0
acuity,diastase,0
thalassemia,iron,1
biopsy,adapter,0
catatonia,narcan,1
transient,contrast,0
dysphonia,hypophysectomy,0
sandimmune,emphatically,0
collapse,extraction,0
ischemias,isosorbide,1
infertility,carboplatin,1
calculation,tired,0
mycoses,meningitis,1
cyanosis,primatine,1
barely,hypodensities,0
velcro,today,0
ace,instilled,0
degree,micronase,0
dysuria,cipro,1
uremias,aspirin,1
fruits,aware,0
bleomycin,antabuse,1
dehydration,dysentery,1
weighing,edp,0
cavagram,colace,0
portal,mildly,0
destination,to,0
cardiomyopathies,syncope,1
transcutaneous,recovered,0
erythrocyte,adhesion,0
leukopenia,cefaclor,1
esmolol,amiodarone,1
pam,cleansing,0
word,sigvaris,0
fine,icteric,0
hispanic,ucsf,0
clonus,wellbutrin,1
anorectum,paracentral,0
mastoids,background,0
ramp,aminophylline,0
giardiasis,mannerism,1
integrity,fascia,0
anosmia,aphonia,1
premix,doppler,0
proctocolitis,scintigraphic,0
palpitations,ditropan,0
moveable,animals,0
albuterol,serevent,1
zoloft,prozac,1
discretion,took,0
fish-mouthing,polyuria,1
epilepsy,anosmia,1
hibiclens,premounted,0
midclavicular,scab,0
regaining,impendence,0
convulsion,ethanol,1
pre,xp,0
acuity,negative,0
ucsf,noticing,0
tracheostomy,indigestion,0
mastodynia,earache,1
surrounded,healing,0
seeking,carlos,0
striking,arrived,0
legionella,wakefulness,0
vasospasm,disclosed,0
gout,stability,0
faux,cellulitis,0
iq,struggled,0
otitis,meningism,1
sciatic,al,0
infertility,blepharospasm,1
chills,snoring,1
bumps,advancement,0
service,staging,0
paralytics,endoclips,0
verbally,kaweah,0
psoriasis,spasm,1
hemangioma,helicopter,0
pleurocentesis,blurred,0
hyperemesis,carboplatin,1
increments,classroom,0
infertility,anovulation,1
quantitative,compared,0
digoxin,cardizem,1
pancreatitis,cataract,1
thing,aorta,0
earache,hyperacusis,1
sensipar,tuberculum,0
demerol,pipkin,0
grades,anaerobic,0
dumon,towels,0
codeine,robitussin,1
anovulation,sinemet,1
injuries,breakdown,0
preliminary,radiations,0
confrontation,against,0
janitor,stabbed,0
understands,extravasated,0
excursions,stepping,0
unlikely,was,0
mra,retrograde,0
feedback,exams,0
erythema,tremor,1
fibrillation,halitosis,1
stain,creatine,0
fe,macular,0
display,retention,0
photodocumentation,debridements,0
snoring,loperamide,1
podiatrist,injuring,0
jude,partly,0
anovulation,torticollis,1
lumigan,appetite,0
loading,postanesthesia,0
histopathology,ensued,0
pursue,hemisphere,0
cheyenne,unable,0
paraesophageal,sharply,0
crepitations,loading,0
soleus,dph,0
ica,vented,0
neuropathy,glucophage,1
avitaminoses,starvation,1
tool,spina,0
york,legs,0
schizophrenia,motocross,0
adherence,rotations,0
inderal,pretreated,0
sinai,unclippable,0
ceftazidime,ceftiaxone,1
inlet,clumsy,0
dyspnea,agitation,1
isosorbide,toprol-xr,1
reader,class,0
intrauterine,trajectory,0
influenzae,amantadine,1
clavicle,bioccipital,0
fecal,interpreted,0
forgetful,misdirected,0
plus,tests,0
bulk,reiterated,0
stressed,importance,0
perineum,supraspinatus,0
reversal,positives,0
canada,india,0
earache,amoxil,1
spleen,satisfactory,0
angina,dyspnea,1
markedly,appropriately,0
fit,tendency,0
ischemias,toprol-xr,1
grimaces,hemiballismus,1
evolving,disconnected,0
enteric,fallopian,0
proportionate,stiffness,0
doyen,terminates,0
tabularized,macrodantin,0
impingement,mine,0
drowsy,turn,0
away,tired,0
windows,arch,0
abortions spontaneous,listeriosis,1
quickly,photosensitivity,0
methadone,ultram,1
anvil,nit,0
aneurysm,silvadene,1
megace,ascites,0
gyriform,approximating,0
oligodendroglia,transiently,0
nausea,zofran,1
narrow,bpm,0
composed,hyperactive,0
blepharospasm,coumadin,1
dementia,aloe vera,1
epilepsy,actonel,1
gone,ventilator,0
xanax,ativan,1
exept,viii,0
tuberculosis,clubbing,1
